Name,이름
TargetSubType,사망한 대상 스킬 적용
DamageType,데미지 종류
MulDamage,대미지 계수
LevelUpMulDamage,레벨 추가 계수
AddDamage,추가 데미지
LevelUpAddDamage,레벨 추가 데미지
MagicDamage,술법 대미지 계수
LevelUpMagicDamage,술법 레벨 계수
AddMagicDamage,술법 추가 데미지
LevelUpAddMagicDamage,술법 레벨 추가 데미지
CrowdControlType,상태이상 종류
CrowdControlTime,상태이상 지속시간
RewardItemValue7,아이템 개수7
ShopItemId,상점 아이템 ID
ShopId,상점 번호
NeedCostId01,구매 재화 종류
NeedCostCount01,구매 재화 비용
NeedCostId02,구매 재화 종류 #2
NeedCostCount02,구매 재화 비용 #2
ResultItemId,판매 아이템
ResultItemIdCount,판매 아이템 개수
AccountType,계정구분
ListGroupString,등급
StartDate,시작 기간
EndDate,종료 기간
EffectAttributeValue,추가 능력치
EffectString,보상 능력치
ItemUseId01,필요 아이템 #1
Smelting01,강화 수치 #1
ItemUseId02,필요 아이템 #2
Smelting02,강화 수치 #2
ItemUseId03,필요 아이템 #3
Smelting03,강화 수치 #3
ItemUseId04,필요 아이템 #4
Smelting04,강화 수치 #4
ItemUseId05,필요 아이템 #5
Smelting05,강화 수치 #5
ItemUseId06,필요 아이템 #6
Smelting06,강화 수치 #6
ItemUseId07,필요 아이템 #7
Smelting07,강화 수치 #7
ItemUseId08,필요 아이템 #8
Smelting08,강화 수치 #8
RelationId,ID
메인 퀘스트,메인 퀘스트
RelationMenuName,에피소드
RelationCategory,카테고리
RelationQuestStep,스텝
RelationQuestGrade,등급
RewardMissionId,보상 임무
RelationTitleSID,기연 제목
RelationQuestInfoSID,단서
RelationCompleteInfoSID,완료 내용
MissionInfoSID,미션 정보
MissionType,임무 유형
MissionTarget,목표 대상
ConditionType,달성 조건
MissionCondition,선행 의뢰
ConditionCoordinate,목표 좌표
Parameter1,값1
Parameter2,값2
Parameter3,값3
MissionStageId,완료 지역
RewardEXP,경험치
RewardGOLD,골드
RewardGoodsType,타입
RewardGoodsCount,수량
RewardItemId01,보상 #1
RewardItemCount01,수량 #1
RewardItemId02,보상 #2
RewardItemCount02,수량 #2
RewardItemId03,보상 #3
RewardItemCount03,수량 #3
RewardItemId04,보상 #4
RewardItemCount04,수량 #4
RewardItemId05,보상 #5
RewardItemCount05,수량 #5
RewardItemId06,보상 #6
RewardItemCount06,수량 #6
itemid,아이템ID
MonGrade,몬스터 등급
Edid,정예 아이디
StageID,사냥터 이름
BossMonsterID,보스 이름
Labyrinthid,미궁 아이디
Stageid,미궁 이름
StageBoss,보스 이름
UwID,비곡 아이디
Monsterid,몬스터 아이디
level,레벨
StageNameSID,지역 이름
AchievementText,업적 설명
command,명령어
string,결과
TitleString,보감 이름
QuestTitleSID,퀘스트 이름
QuestMissionSID,퀘스트 내용
QuestLevel,진행레벨
MonsterId,몬스터ID
TargetCount,목표 횟수
MissionTitleSID,임무 이름
RequestTitleSID,의뢰 이름
BuildingName,위업 이름
EdID,ID
ObjectId,오브젝트ID
ObjectNameSid,오브젝트 이름
CombatPower_Boss,보스 전투력
shopid,상점ID
namesid,이름
Classid,클래스
Skillid,스킬ID
VehicleId,탈것ID
wepon_item,획득 가능 장비
etc_item,획득 가능 아이템
StealStageType,스테이지 타입
PkGradeType,성향 등급
StealProbability,약탈될 확률
StealRatioMin,약탈 최소 비율
StealRatioMax,약탈 최대 비율
StealMaxCount,최대 약탈 수치
DropItemProbability,아이템 드랍 확률
DropItemKindCountMin,아이템 드랍 최소 수량
DropItemKindCountMax,아이템 드랍 최대 수량
DropItemGradeMin,드랍 아이템 최소 등급
DropItemGradeMax,드랍 아이템 최대 등급
DropItemRatioMin,드랍 아이템 최소 비율
DropItemRatioMax,드랍 아이템 최대 비율
SmetingCount,강화 단계
SmeltingCount,강화 단계
IncreaseCount01,강화 수치 #1
IncreaseProbability01,+1 확률
IncreaseCount02,강화 수치 #2
IncreaseProbability02,+2 확률
IncreaseCount03,강화 수치 #3
IncreaseProbability03,+3 확률
IncreaseCount04,강화 수치 #4
IncreaseProbability04,+4 확률
SmetingSuccessProbability,성공 확률
KeepProbability,실패 확률
CompensationProbability,강화 실패 보정 확률
DownProbability,단수 하락 확률
BreakProbability,장비 파괴 확률
MaterialItemId01,강화 재료 #1
MaterialItemCount01,강화 재료 #1 갯수
MaterialItemId02,강화 재료 #2
MaterialItemCount02,강화 재료 #2 갯수
MaterialCostValueType01,강화 비용 #1
MaterialCostValue01,강화 1 비용
MaterialCostValueType02,강화 비용 #2
MaterialCostValue02,강화 2 비용
AddSmeltingSuccessProbability,추가 강화 성공 확률
ExpdId,원정ID
ExpdNameId,원정 이름
ReqCombatPoint,입장전투력
QuestID,퀘스트ID
ReqCombatPoint,입장전투력
SDgnLocationID,비밀 던전 입장 좌표
SDgnDescSID,비밀 던전 설명
SDgnPCPower,권장 전투력
SDgnHelperTitle,입장권 트래커 제목
SDgnHelperDesc,입장권 트래커 내용
SDgnTimer,던전 만료 시간(초)
MagicSquareId,마방진ID
SquareName,마방진 이름
SquareInfo,마방진 정보
NeedLevel,입장 조건 - 레벨
PCPower,기준 레벨
MagicSquareStageId,마방진ID
StageId,지역 ID
StageInfo,지역 정보
PositionLocation,입장 좌표
SDgnNameSID,비정봉 이름
SDgnShortDescSID,비정봉 간략 설명
QuestID,퀘스트ID
UnlockConditionStage1,선행 조건 #1
UnlockConditionStage2,선행 조건 #2
GenCostType1,생성 비용 #1
GenCostTypeSub1,비용 타입 #1
GenCostValue1,생성 필요 값 #1
GenCostType2,생성 비용 #2
